2739,35487978,155864697,0
121639,35487981,1540881852,0
2803,35487986,1540773385,0
121642,35487986,1540881863,0
149065,35487995,911998377,0
46132,35487997,360226557,0
2642,35487997,1540772356,0
2752,35494034,1540773267,0
2751,35494035,1540773264,0
386,35839639,549775642,0
98707,35839642,800140499,0
388,35839642,1540770085,0
389,35839643,1540770086,0
395,35839948,936804097,0
40479,35839960,360008922,1
40316,35839960,1540810014,0
24113,35840454,295773042,0
98717,35840828,800140503,0
400,35840828,1540770111,0
115662,35840949,359997469,1
98711,35840949,1540861538,0
24128,35840952,1540794415,1
98712,35840952,1540861539,0
24114,35841643,35839948,0
98714,36231496,359999163,0
543,36231496,1540770199,1
5846,36243626,592380963,0
81627,36243628,1540845071,0
5848,36243712,1540775955,0
2261,36243995,1540771774,0
80339,36244001,577419537,0
80340,36244140,152943266,0
51688,36244146,1540816208,0
51689,36244147,1540816212,0
35616,36244148,1540804922,0
82574,36244671,1540846374,0
51704,36245082,36245085,0
82575,36245085,599162326,0
82005,36245092,1540845764,0
81623,36245102,1540845063,0
81622,36245103,1540845057,0
40207,36643959,1540809953,0
81780,36643968,1540845695,0
31223,36643971,347781699,1
81781,36643971,1540845595,0
137795,36645001,583229699,0
75733,36645010,1013434025,1
1623,38830930,1540771123,0
2461,38830930,1540772056,0
49932,38840240,38842554,1
17692,38840240,302660617,1
17699,38840244,1540787781,1
92198,38840254,745984375,1
50141,38840254,1520838821,0
81978,38840263,1540845752,0
92208,38840263,1540856199,1
82533,38842542,360728582,0
51670,38842542,1540816145,0
82537,38842545,360730849,0
49933,38842554,1540814972,1
82544,38842554,1540846334,0
82552,38842561,360469553,0
48026,38842561,360469556,1
24947,38842565,302363454,0
82554,38842565,1540846346,0
106905,84568354,1540868657,0
81963,130197703,417277348,0
84015,130197784,600930492,0
134872,150563575,150563576,1
134873,150563575,559590429,1
2025,150563681,1540771410,1
127468,150563681,1540885172,0
29620,150563682,360474544,0
56194,150563682,365122620,1
2027,150563682,694829012,1
2029,150563683,360476027,1
29651,150563683,1493227230,1
2036,150563687,678158747,1
92220,150563687,678158888,1
2460,152800568,1540772055,0
73502,152800568,1540839663,0
51657,152801180,360015847,1
41121,152801180,1540810246,1
98732,152801591,800150278,1
75572,152802117,559564585,1
40094,152802117,985946126,0
2171,152802341,359996135,1
40106,152802341,984726008,1
40096,152802868,152802869,1
115447,152802868,1540874565,1
115439,152802869,984725721,1
40097,152802869,984726062,1
40099,152802872,152802874,1
40100,152802874,359996114,1
135119,152803459,581286089,1
51677,152803459,1540816149,1
135115,152803460,361198785,1
97363,152803614,793781696,1
51481,152803614,793781799,1
2174,152803614,937216389,1
84007,152803614,1540846824,1
84020,152803615,793781809,1
106805,152803983,937216053,1
83977,152803983,937216333,1
83951,152804209,793810036,1
2176,152804209,937216520,1
83971,152804211,937216608,1
83966,152804436,355921423,1
106885,152804436,600924197,0
106907,152804436,1540868661,1
106890,152805029,937378131,1
84026,152805030,372800259,1
106908,152805030,937378278,1
81187,152805376,584361276,0
81208,152805378,152805376,0
81186,152805894,272564576,0
138908,152805894,1308321659,1
2260,152937997,250929194,0
5776,152938166,1540775586,0
2259,152938759,152938166,0
80347,152939465,152938759,0
51649,152939864,152939867,1
97560,152939864,795263039,1
51650,152939867,361220005,1
